,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000414,694,6,11,13,4,5,8,7,7,6,12,4,9,6,11,6,13,12,4,10,7,11,8,6,9,8,5,9,9,7,9,11,7,7,4,4,6,8,12,4,15,12,13,10,18,7,10,10,14,10,14,15,19,17,18,21,7,4,12,13,13,8,7,9,9,13,7,8,8,6,2,5,5,2,2,2,3,2,2,3,2,4,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
S01000415,927,20,11,10,12,7,10,7,7,10,6,8,10,15,8,11,9,16,15,8,8,13,5,6,14,9,8,5,9,9,10,14,19,7,15,12,9,14,14,17,13,9,13,16,7,21,19,16,15,13,14,6,14,11,7,14,8,11,10,11,13,16,13,16,6,17,14,11,6,20,9,5,12,14,7,9,8,11,8,6,5,6,4,4,7,7,1,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0
S01000416,910,9,19,18,27,11,13,17,11,17,17,9,14,10,10,11,14,8,16,15,7,7,9,7,12,6,4,7,8,14,14,13,15,10,11,16,14,23,10,20,26,10,23,16,14,21,13,17,7,17,20,10,7,7,6,9,10,12,13,11,10,10,12,12,8,5,6,9,4,6,6,2,7,2,4,2,4,6,5,3,6,5,3,1,3,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
S01000417,1008,8,9,11,9,9,9,11,9,16,6,12,6,11,18,11,14,16,10,11,12,10,13,11,12,9,12,7,10,14,9,4,9,8,7,16,8,6,10,7,14,16,18,15,20,18,16,19,15,34,15,19,11,13,19,12,14,21,11,15,20,15,12,11,18,14,11,8,6,16,10,10,9,10,11,8,12,5,9,10,12,5,6,7,1,4,2,3,2,1,1,3,0,1,0,0,0,0,0,0,0,0
S01000418,718,13,7,5,8,7,9,7,7,7,11,6,7,10,9,11,6,13,8,5,8,11,5,5,8,7,4,1,7,6,4,7,6,6,4,6,4,6,9,11,7,14,12,11,19,12,8,14,17,15,11,15,14,10,15,21,15,11,11,10,13,13,20,12,11,7,4,9,7,6,6,8,6,8,4,3,5,1,5,4,4,5,3,3,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
S01000419,1523,29,29,31,22,25,26,28,22,26,19,28,22,35,27,22,20,27,21,17,12,11,12,11,11,8,17,13,31,18,22,28,25,25,28,20,31,37,34,35,39,38,28,24,37,28,28,35,30,26,22,13,14,10,13,18,18,16,10,12,17,17,14,10,8,10,10,4,5,3,8,6,9,3,2,5,6,1,2,3,3,2,3,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
S01000420,1339,17,22,21,22,25,19,20,14,15,15,12,16,17,15,20,9,20,11,16,13,7,11,18,8,16,8,16,26,19,18,24,22,14,17,23,21,21,24,13,20,20,27,23,20,18,21,17,17,16,17,21,14,21,20,15,15,12,21,23,11,14,15,15,17,16,12,6,12,13,9,8,13,10,7,8,8,6,11,9,9,5,7,4,6,2,4,8,3,9,4,4,3,3,2,1,1,0,0,0,1,0
S01000421,786,12,14,10,11,11,7,12,10,13,13,7,12,14,8,14,15,14,11,10,11,11,3,7,6,2,4,11,5,6,4,9,7,6,14,6,18,13,15,14,15,19,16,17,11,17,12,16,18,22,5,20,9,10,15,18,13,11,7,5,10,4,8,10,12,5,7,3,5,4,6,5,4,4,2,3,4,3,1,2,1,0,4,4,1,0,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0
S01000422,947,12,8,18,9,11,7,11,11,8,8,9,9,16,14,11,10,17,17,7,10,14,7,9,6,6,9,7,5,10,6,5,4,6,17,6,10,11,15,21,14,22,12,15,15,15,15,16,20,15,13,11,12,15,13,11,12,8,14,5,10,16,12,10,11,9,13,10,8,10,3,12,6,17,10,13,10,8,2,8,7,8,6,4,3,7,6,5,5,5,6,4,2,2,1,2,0,2,2,0,0,2
S01000423,1026,6,19,13,18,13,12,25,11,16,10,16,12,14,12,13,22,17,10,9,13,8,10,11,9,7,9,9,5,3,9,7,13,14,10,11,10,12,15,9,25,15,19,17,28,24,12,20,17,16,20,15,24,18,28,17,11,18,21,21,10,23,16,20,12,5,15,10,7,8,5,9,0,7,2,3,5,5,3,1,2,3,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
S01000424,743,8,11,11,12,10,7,9,9,6,11,11,13,8,16,12,8,10,9,11,7,8,8,4,7,6,3,6,6,2,6,12,7,13,8,13,9,14,16,7,17,17,9,10,15,13,11,9,15,10,12,15,9,13,13,13,15,10,9,6,4,15,12,12,11,12,14,6,7,7,5,3,9,3,3,4,1,2,1,3,1,1,0,1,2,1,2,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0
S01000425,842,9,8,11,12,8,9,8,8,11,6,4,8,10,10,4,17,8,14,5,4,7,3,6,8,8,11,5,8,7,4,11,9,10,10,9,9,8,13,10,5,9,8,17,13,13,16,16,14,12,16,9,13,15,6,16,15,23,14,10,11,19,13,8,8,25,12,15,12,8,8,9,6,3,6,4,5,13,6,8,6,5,4,4,4,5,5,6,7,1,2,1,0,0,1,1,1,0,0,0,0,0
S01000426,826,12,11,12,14,12,9,14,9,11,13,14,8,10,9,11,17,13,11,7,8,9,7,5,3,11,5,6,4,6,5,9,7,2,9,10,7,13,13,17,15,12,13,12,10,11,23,17,13,14,13,21,21,15,15,12,17,8,15,15,14,12,7,9,15,14,12,7,6,5,6,4,5,6,4,4,4,2,2,3,3,4,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
S01000427,743,13,8,5,11,3,5,5,6,1,6,2,5,7,8,11,9,11,9,9,10,8,9,19,8,16,17,13,8,11,12,14,15,12,15,8,10,9,14,8,11,11,9,16,8,8,8,10,13,12,16,13,9,14,13,11,17,16,12,14,12,5,15,15,10,8,5,7,3,8,5,3,7,5,3,4,1,1,3,3,1,2,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
S01000428,666,3,7,6,1,7,2,3,4,6,7,5,6,10,12,10,5,18,15,11,9,6,7,8,6,7,4,3,10,9,7,4,5,6,5,4,2,12,7,5,14,13,6,5,7,14,12,12,11,15,14,7,8,17,11,9,16,7,20,10,19,11,16,17,16,13,4,5,7,4,5,6,9,2,6,5,0,0,5,2,1,2,4,1,4,1,1,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0
S01000429,871,12,4,4,9,4,7,6,6,5,1,4,5,9,4,7,6,11,11,10,10,5,7,14,14,17,15,13,12,9,16,7,13,3,11,8,5,10,8,8,12,11,4,4,18,8,14,8,10,6,16,13,13,8,12,13,8,20,25,11,18,13,10,8,11,23,18,8,8,18,7,10,7,11,23,11,10,11,9,4,8,9,13,5,5,4,2,7,3,3,2,3,3,0,1,1,0,0,0,0,0,0
S01000430,501,4,5,3,4,3,6,2,2,3,4,3,3,6,2,8,9,6,7,10,5,7,4,5,5,10,5,1,5,2,2,3,6,9,7,8,6,7,3,3,5,7,7,7,10,3,4,6,3,14,6,10,5,6,4,11,17,15,8,11,9,9,7,9,7,9,10,3,8,5,5,6,4,6,5,8,5,4,5,1,3,1,1,1,0,2,0,1,1,3,2,3,2,1,1,0,0,0,0,0,0,2
S01000431,722,11,4,8,9,9,7,5,6,6,7,0,3,6,6,5,5,9,4,8,8,3,5,7,5,7,13,7,7,6,11,10,14,6,10,4,7,10,11,8,8,7,5,8,14,11,6,7,12,9,14,10,10,16,5,6,16,5,4,7,5,8,8,14,8,9,9,8,5,6,5,6,8,13,6,6,11,9,7,10,7,9,9,8,13,5,8,4,4,11,6,3,5,5,0,3,2,1,1,0,0,0
S01000432,881,4,4,1,4,3,9,5,6,6,6,10,8,3,5,13,4,13,10,8,6,7,6,6,10,7,5,1,6,6,6,5,4,6,11,14,7,5,12,6,11,15,7,11,12,11,6,12,12,8,16,16,21,15,11,8,17,12,22,19,16,16,17,15,21,17,22,12,17,7,16,14,8,13,12,13,13,12,9,12,16,14,6,4,4,10,4,5,3,5,4,2,0,1,1,0,0,0,0,0,0,0
S01000433,510,5,9,4,5,2,3,2,0,2,8,3,3,2,4,1,4,10,6,7,11,7,7,5,9,5,4,2,0,10,8,3,4,3,4,2,10,0,3,4,4,2,6,13,7,9,8,3,6,10,9,4,11,10,9,11,10,9,7,3,7,5,3,8,9,15,2,6,9,11,1,8,5,9,3,9,6,4,5,5,7,6,3,5,3,0,2,1,3,5,5,1,3,1,1,0,0,1,0,0,0,1
S01000434,602,3,5,5,4,9,4,7,7,9,3,8,6,9,14,8,12,12,12,7,9,6,8,7,7,4,7,13,5,9,8,6,8,9,8,7,7,8,6,6,6,12,4,7,10,9,14,8,4,12,11,9,9,15,7,12,11,10,6,5,2,4,7,8,8,7,7,5,6,6,5,4,6,2,4,3,7,4,3,3,4,4,1,3,2,2,5,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0
S01000435,514,2,6,9,6,5,4,6,4,2,4,7,4,8,4,2,7,8,7,7,8,3,3,6,3,6,8,10,5,10,6,12,3,5,6,4,7,5,3,8,5,2,6,5,6,9,8,8,3,11,6,7,3,3,8,8,9,7,7,10,14,17,15,9,11,9,5,4,8,6,5,4,6,4,3,8,5,4,5,2,4,0,4,0,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
S01000436,629,8,8,4,7,9,7,7,3,10,5,7,5,13,11,8,10,9,11,9,8,8,7,11,7,6,10,8,8,9,9,9,9,5,5,2,6,5,11,4,7,7,10,9,10,6,7,14,22,21,16,15,12,15,12,10,10,5,9,6,9,5,4,10,12,8,5,5,5,2,4,4,2,6,6,3,4,2,0,3,4,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
S01000437,947,10,12,4,9,9,7,6,6,4,2,12,4,10,6,10,10,7,9,11,12,11,10,13,6,17,8,11,13,9,16,9,17,5,12,9,9,5,11,14,9,17,8,14,7,11,20,12,18,22,20,11,10,16,11,21,12,10,9,9,16,12,18,9,7,13,7,10,5,12,10,13,16,15,7,11,15,9,8,11,6,7,5,7,9,11,10,4,3,5,6,5,2,1,2,1,3,3,0,0,0,1
S01000438,594,5,1,5,10,9,4,13,4,5,7,7,8,1,10,10,10,11,5,10,6,9,4,9,11,5,3,4,5,2,4,3,4,2,5,5,6,5,7,7,8,12,1,10,9,9,9,8,10,11,10,19,17,11,19,13,18,17,11,9,5,15,6,8,5,5,3,10,3,5,2,3,2,4,5,2,3,4,6,3,3,4,3,5,1,0,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
S01000439,823,10,9,6,11,13,5,11,8,12,17,11,16,7,11,13,11,10,10,9,11,9,10,7,9,8,1,5,4,3,3,11,5,9,11,5,9,21,18,10,19,19,13,19,15,17,17,17,16,14,13,16,15,19,13,12,14,18,11,13,7,8,12,8,11,13,9,9,1,10,8,2,3,4,3,5,4,6,5,1,2,1,2,3,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
S01000440,1091,10,20,15,8,13,14,7,12,15,12,8,12,8,16,11,11,14,18,9,7,6,10,13,5,11,9,15,10,16,12,15,12,11,17,10,14,15,27,17,19,18,17,14,17,20,17,12,22,21,17,18,21,17,21,16,14,17,20,17,20,13,18,20,21,12,10,6,11,9,8,8,8,6,5,6,4,6,5,4,6,9,3,7,4,1,3,5,1,1,4,3,3,0,0,0,0,1,0,0,0,0
S01000441,900,9,9,10,10,9,7,7,9,10,11,11,22,10,12,8,11,7,15,11,5,8,11,5,7,8,2,6,12,8,14,5,7,12,4,8,8,6,13,9,17,10,20,14,13,18,22,18,10,16,14,18,13,12,11,13,9,16,11,12,16,17,5,20,21,17,12,20,13,10,9,9,5,10,8,5,8,9,5,3,5,7,6,5,2,0,4,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0
S01000442,843,10,8,9,10,13,7,10,4,5,10,13,13,11,11,14,8,12,15,12,7,9,8,3,12,5,6,8,5,3,12,11,10,4,5,11,13,4,15,16,6,10,14,19,17,16,8,19,21,14,19,15,16,20,17,14,9,11,16,21,13,15,13,7,12,14,5,6,11,9,10,5,10,8,4,2,1,5,1,4,8,2,1,2,0,2,1,0,4,0,1,2,0,0,0,0,0,1,0,0,0,0
S01000443,608,7,9,10,7,7,8,5,9,3,8,8,3,4,7,4,8,14,9,5,5,10,3,4,5,2,2,2,3,1,8,9,7,7,11,13,4,9,6,7,6,7,11,16,13,11,9,11,9,12,14,15,11,13,8,15,14,11,7,6,14,9,10,6,9,8,13,7,6,9,5,4,5,5,8,4,0,1,2,0,1,2,0,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
S01000444,2534,57,53,58,67,58,43,50,48,38,36,37,37,46,32,39,27,43,26,33,25,18,13,17,15,17,11,24,23,25,39,39,35,54,43,59,69,55,62,64,62,68,50,58,41,42,45,52,48,38,36,45,27,39,21,23,26,19,20,17,26,19,22,22,12,16,11,7,6,9,8,8,6,8,5,5,6,7,3,2,2,3,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
S01000445,1201,12,7,16,8,14,13,5,12,16,12,11,20,16,10,12,15,21,16,12,17,17,10,8,6,9,6,12,8,15,14,11,9,16,14,16,20,12,15,10,19,23,23,27,23,21,24,31,27,19,25,19,21,14,22,13,14,19,15,12,22,19,22,17,16,22,15,16,10,14,10,7,5,10,15,8,10,8,6,2,5,6,4,5,3,4,2,1,2,3,1,4,0,2,0,0,0,0,1,0,0,0
S01000446,951,9,13,6,8,8,21,5,9,10,14,10,9,16,13,13,10,12,12,7,7,9,5,5,5,1,2,8,14,8,5,11,10,10,14,10,9,9,20,14,13,19,21,19,20,23,28,24,21,13,20,15,23,28,17,15,22,12,14,17,15,19,15,12,14,10,9,11,7,8,5,7,3,3,3,8,7,3,4,3,1,3,2,1,2,2,1,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0
S01000447,782,8,11,23,5,19,12,14,7,6,10,6,12,9,11,14,11,17,12,7,12,14,3,7,9,7,9,10,10,9,4,8,9,12,12,12,13,14,10,15,11,12,15,11,16,16,15,20,12,14,15,10,9,11,11,6,5,3,7,13,7,5,4,6,6,10,1,9,3,3,6,3,5,2,12,5,2,6,4,6,5,5,4,1,4,0,4,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0
S01000448,859,10,13,14,10,9,13,10,13,11,11,14,11,18,12,9,8,12,11,8,8,9,7,10,7,5,10,13,9,9,12,4,9,9,8,12,7,14,13,8,17,14,18,21,18,17,15,15,19,15,9,12,12,9,15,4,11,8,10,16,11,11,13,10,9,20,7,11,10,9,8,3,4,9,7,7,6,4,5,4,3,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S01000449,740,2,8,3,13,10,9,8,7,6,7,8,7,3,7,9,8,9,4,6,4,1,10,7,10,10,6,6,5,7,5,5,9,7,6,14,12,9,16,11,10,4,12,13,11,5,9,13,13,10,12,12,10,12,12,12,14,9,15,11,8,10,11,17,7,8,7,13,10,7,10,9,8,11,7,4,4,8,4,3,8,6,2,7,0,2,6,9,3,2,3,3,4,1,1,0,0,3,0,0,1,0
S01000450,553,1,5,2,6,6,2,4,1,5,3,8,5,1,7,6,2,7,5,9,1,4,3,8,5,4,5,7,11,9,6,15,6,6,6,4,5,7,2,3,6,9,8,8,4,8,16,10,12,13,10,6,4,6,6,8,7,10,9,15,10,10,13,8,13,13,9,8,6,10,7,8,9,6,4,4,6,3,4,2,5,5,2,0,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0
S01000451,855,5,8,13,6,8,9,4,9,7,8,10,13,5,10,11,11,10,12,5,8,5,14,6,7,4,8,9,7,3,8,10,8,8,11,14,10,8,15,11,11,8,14,18,18,11,16,18,19,17,17,12,17,16,19,21,16,11,10,8,16,12,20,12,14,9,11,6,6,12,12,2,6,10,6,4,7,4,7,6,8,8,3,2,5,2,2,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0
S01000452,573,4,3,4,5,3,3,3,6,1,4,7,9,5,11,4,6,10,5,9,11,6,6,8,5,6,6,6,4,4,8,7,5,5,9,1,5,6,9,3,9,11,12,10,8,14,13,6,13,17,13,20,16,9,14,10,15,9,12,7,6,8,7,8,15,7,5,4,2,5,4,5,2,3,5,3,1,2,2,6,0,2,1,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000453,584,7,9,7,8,6,9,9,2,5,5,7,3,7,4,5,9,5,5,4,5,1,6,5,6,5,7,2,8,5,2,6,9,3,8,6,8,5,4,9,9,11,11,12,6,5,14,20,11,10,6,13,7,11,10,18,13,7,9,8,4,3,19,10,7,5,9,7,5,4,7,6,3,3,3,4,2,3,4,3,2,5,6,3,1,0,0,4,3,1,0,1,2,0,0,3,2,1,0,1,1,0
S01000454,443,7,6,3,1,6,6,6,3,7,4,2,6,3,6,3,3,6,4,2,4,8,3,2,2,6,4,4,7,4,4,2,5,2,2,4,6,6,10,3,6,5,6,3,3,5,2,12,7,8,5,3,5,8,6,9,6,5,6,4,3,11,7,4,15,7,6,4,1,8,7,5,2,6,2,5,5,5,3,4,9,3,4,3,5,3,4,7,4,2,2,1,0,0,0,0,0,0,0,0,0,0
S01000455,846,8,9,7,16,9,9,9,7,6,11,8,8,7,11,10,14,13,12,10,6,9,6,9,3,15,5,8,10,10,12,10,9,12,8,11,17,5,18,5,20,11,12,17,11,19,15,15,12,16,10,15,13,7,14,18,21,16,14,19,9,13,18,14,12,12,7,10,8,4,9,4,5,10,7,5,8,5,2,3,2,2,0,0,0,3,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0
S01000456,1132,19,13,22,15,17,18,18,18,23,17,8,13,16,18,9,13,14,12,10,14,4,12,9,12,14,13,14,14,13,19,11,21,7,18,19,15,12,12,18,12,19,13,30,23,24,15,11,21,21,12,16,19,12,16,14,11,12,7,12,12,15,19,20,18,15,6,13,7,13,9,6,8,13,8,4,3,9,9,5,4,8,9,3,2,2,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0
S01000457,819,7,6,3,9,0,4,8,6,9,7,3,9,6,7,8,7,5,14,6,6,7,8,5,5,10,6,6,4,5,7,4,6,8,8,5,8,3,12,10,9,12,3,8,8,9,8,8,9,11,8,14,12,17,14,10,19,12,11,16,12,9,11,13,11,13,7,8,9,2,10,7,13,13,12,9,13,8,9,16,8,10,3,11,15,7,11,16,16,7,8,10,7,0,0,3,1,3,2,0,1,0
S01000458,930,6,11,10,14,12,7,12,8,20,16,11,12,16,12,12,12,14,5,12,8,6,10,11,11,7,6,11,7,9,10,9,10,16,7,10,4,8,15,19,9,15,21,22,15,13,18,21,18,16,12,19,17,24,16,22,13,20,16,20,10,12,13,8,12,19,11,8,8,3,13,5,8,6,2,1,6,3,2,0,3,0,2,3,3,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
S01000459,1013,12,8,11,7,11,8,9,8,6,13,5,9,15,3,10,4,11,13,10,22,10,8,16,13,16,6,11,10,9,7,19,15,8,8,11,5,9,15,16,12,7,9,14,6,16,12,12,17,28,22,7,23,13,19,17,8,12,19,7,14,14,13,15,20,23,18,9,16,11,14,12,10,10,5,14,10,8,8,4,4,9,8,5,9,10,5,12,3,5,1,2,2,1,1,0,1,0,0,0,0,0
S01000460,707,8,12,12,6,10,5,7,7,9,7,5,10,8,9,10,11,10,13,8,9,12,8,8,11,4,4,11,4,5,6,7,7,2,3,9,6,6,10,10,13,9,10,10,7,21,10,8,10,15,10,7,8,10,4,5,7,8,6,5,11,8,14,12,9,13,11,9,7,7,12,5,7,5,8,10,9,9,6,9,6,3,8,2,5,3,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0
S01000461,865,11,9,13,6,5,7,5,6,7,9,8,14,5,14,12,4,6,5,6,14,7,14,15,12,10,13,10,9,8,12,14,8,11,8,16,10,8,6,15,7,15,8,8,15,5,10,9,13,8,14,12,10,8,16,16,7,14,11,5,11,11,11,12,8,11,7,12,7,8,13,7,8,9,6,10,13,10,11,10,2,8,12,11,6,10,4,9,6,4,2,5,2,1,1,1,0,0,1,1,0,1
S01000462,1034,5,16,11,7,6,10,8,5,10,12,8,8,18,11,13,16,16,21,19,10,10,6,11,11,9,7,4,9,12,14,11,8,5,8,9,2,15,13,11,8,19,11,25,14,15,15,23,16,17,16,14,17,12,19,14,15,15,16,14,18,19,10,13,7,11,5,6,14,11,8,8,10,8,13,11,11,7,12,12,10,10,12,8,5,7,10,6,8,5,3,5,1,4,2,1,1,0,1,1,0,0
S01000463,733,15,11,15,14,10,18,7,12,12,5,14,15,8,8,11,9,10,6,7,4,10,6,11,8,22,12,8,14,5,10,14,16,11,8,4,5,10,5,17,13,11,13,17,10,11,8,8,10,8,11,13,12,11,12,7,11,9,8,2,6,8,7,3,10,7,6,7,4,4,6,6,7,2,2,0,6,8,1,4,3,2,2,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
S01000464,848,10,7,8,8,9,9,8,13,15,13,14,13,8,14,9,18,9,8,13,11,7,11,4,1,6,7,6,4,5,5,7,4,4,6,7,10,8,7,10,14,11,13,11,16,14,20,24,17,14,15,20,17,22,7,19,10,7,10,13,18,10,18,17,17,12,7,10,16,9,5,8,11,8,5,7,5,6,4,7,6,0,1,2,1,0,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0
S01000465,665,5,12,3,6,7,6,5,6,10,3,3,3,5,9,9,8,9,15,7,5,10,6,8,3,6,3,5,2,5,7,5,5,7,13,6,4,11,8,4,11,11,7,7,4,12,16,14,18,14,19,14,11,10,14,14,15,13,8,12,10,12,12,14,8,12,12,4,9,8,4,8,9,8,7,4,3,5,3,2,1,3,1,3,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
S01000466,880,7,6,7,8,10,9,13,9,7,8,11,8,11,21,10,15,17,17,12,14,10,5,11,8,3,11,8,5,5,3,7,6,4,10,8,10,13,5,10,16,11,10,19,21,19,24,17,19,23,12,24,15,21,9,12,17,22,16,10,14,7,10,19,11,16,6,8,11,6,9,10,10,6,7,1,2,2,4,3,1,1,2,3,2,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
S01000467,614,7,6,6,5,7,9,4,6,6,7,2,5,6,5,3,6,3,9,8,6,8,1,5,11,9,6,7,5,3,11,7,6,8,12,8,5,6,5,9,8,13,4,13,7,11,12,8,10,11,9,10,6,5,11,15,15,10,7,5,12,14,6,9,13,5,8,9,9,5,9,6,9,9,6,5,7,7,1,7,2,1,0,1,2,4,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0
S01000468,535,2,4,1,5,3,5,5,5,5,11,7,8,14,12,6,9,8,9,3,6,5,5,7,6,5,3,1,9,3,3,3,6,3,3,5,3,3,4,8,8,9,4,9,7,16,11,19,12,14,17,9,10,7,13,10,15,9,6,6,10,5,11,6,5,9,7,4,4,7,5,4,3,5,4,3,3,3,0,2,1,1,1,1,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
S01000469,641,4,4,4,5,6,8,7,6,8,11,15,4,16,11,7,12,10,9,10,11,8,8,5,8,7,4,9,6,4,8,8,3,3,3,8,12,4,9,10,15,11,21,12,11,20,9,22,12,10,13,9,10,8,5,12,12,8,7,4,4,13,11,8,6,13,8,5,4,0,7,1,5,4,4,2,3,3,3,2,1,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000470,1064,10,9,4,6,17,5,15,6,11,13,12,9,10,9,12,13,16,14,16,10,14,16,17,12,13,15,15,13,7,15,16,12,7,10,17,7,8,27,18,12,23,23,22,14,23,13,20,12,19,20,18,14,13,12,15,13,7,19,16,22,12,12,11,16,19,13,12,14,13,9,8,11,8,8,7,7,7,8,5,11,8,3,1,1,0,2,2,3,3,0,1,1,1,0,0,0,0,0,0,0,1
S01000471,837,10,8,19,16,22,11,15,12,10,13,14,5,8,5,11,13,10,13,8,8,11,6,10,13,7,16,2,11,10,12,12,12,14,11,10,11,20,9,16,15,16,8,7,12,14,9,21,14,14,7,17,12,10,7,11,5,8,13,10,10,15,5,12,9,15,7,10,8,6,4,4,2,5,5,3,3,4,3,4,0,5,3,3,1,2,3,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0
S01000472,759,10,14,8,14,9,6,8,9,11,8,10,12,11,10,6,14,8,8,9,15,9,13,10,17,7,13,10,7,9,10,6,9,6,10,9,7,12,9,11,20,10,6,13,11,17,6,21,11,15,14,10,12,8,8,10,9,8,12,13,7,8,13,14,13,18,10,8,1,4,6,4,6,1,7,2,2,1,3,4,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000473,661,11,4,3,5,9,7,5,8,3,5,7,9,3,12,14,7,8,6,5,9,11,7,11,9,5,8,13,6,9,3,8,12,14,6,10,9,3,10,12,13,7,11,9,14,6,5,9,10,7,8,11,10,11,10,9,8,9,6,9,14,6,17,18,13,13,9,7,7,5,6,3,2,12,2,7,0,9,9,3,1,1,1,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
S01000474,625,7,8,9,7,4,11,9,9,3,8,14,5,7,7,7,5,7,9,5,5,8,6,5,3,6,6,8,6,6,10,8,5,1,6,4,9,5,9,9,16,5,10,19,7,6,13,8,8,9,10,11,13,12,17,13,16,12,11,9,6,7,5,7,7,7,9,10,5,6,10,9,6,6,3,4,5,1,3,1,4,3,2,2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
S01000475,727,8,11,8,14,13,7,4,8,2,2,13,8,6,8,17,13,8,11,11,12,17,16,6,10,4,14,10,8,8,6,10,8,5,5,10,13,9,6,13,8,4,11,11,7,21,11,11,12,8,8,9,8,12,8,12,11,8,11,10,4,9,7,9,11,5,10,4,6,8,7,7,7,9,8,5,8,11,3,4,4,2,2,3,2,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
S01000476,627,6,4,8,7,9,5,7,4,6,3,7,4,8,13,5,3,8,11,8,7,3,8,2,5,2,6,4,8,4,3,8,4,9,2,9,12,12,8,7,7,8,8,13,10,6,15,8,10,14,12,14,12,11,18,11,14,8,20,14,13,9,9,9,14,10,9,4,14,4,5,9,4,3,2,1,2,3,1,3,0,1,3,1,3,1,0,1,3,1,0,2,0,1,0,0,0,0,0,0,0,0
S01000477,674,7,6,5,5,2,4,5,3,7,4,3,6,1,9,10,3,5,8,10,11,12,5,4,7,12,4,8,5,1,6,4,2,13,12,8,11,5,5,5,10,3,10,7,7,7,13,11,12,8,12,14,14,11,17,11,8,9,5,6,6,15,14,9,15,11,8,14,11,14,5,8,7,10,8,9,10,10,12,5,7,9,3,1,2,3,2,0,1,0,0,2,0,0,1,1,1,1,0,1,0,0
S01000478,790,7,6,10,10,10,4,5,13,3,8,4,3,7,10,9,12,7,9,11,18,11,10,11,7,10,5,6,9,10,8,9,9,10,6,9,2,13,8,12,9,12,16,23,7,13,9,8,8,9,13,8,7,11,10,9,8,5,12,12,11,11,6,12,10,6,5,11,7,8,11,4,5,11,10,10,17,11,9,11,9,3,6,3,7,7,8,6,6,1,1,3,2,0,1,0,0,1,0,0,0,0
