,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000015,669,9,6,9,7,8,8,4,10,6,4,10,5,5,9,5,15,10,5,10,7,9,12,8,6,9,16,12,11,18,16,11,8,9,20,7,10,14,16,10,11,13,9,11,9,11,20,14,17,14,18,9,17,16,11,9,10,12,6,5,4,2,3,8,2,6,2,4,1,2,3,2,3,1,3,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000016,540,6,4,3,1,7,2,6,7,3,5,9,6,8,6,7,8,6,16,7,12,7,10,5,6,6,7,6,8,8,7,5,2,5,4,4,5,6,10,5,3,8,7,6,6,10,12,20,8,6,5,4,6,7,11,9,6,10,8,12,6,3,7,8,9,11,5,6,5,5,7,4,5,3,10,8,3,3,1,2,7,1,3,1,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
S01000017,848,10,11,9,8,6,5,5,9,6,4,5,4,5,9,6,8,9,8,10,9,12,11,9,10,13,7,17,7,20,13,19,16,11,12,13,15,3,8,10,17,14,6,12,13,10,8,19,12,12,15,19,8,11,14,16,14,20,14,15,16,17,11,9,11,12,10,13,8,5,7,7,10,8,8,7,8,3,3,4,8,2,4,3,2,3,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
S01000018,520,11,5,5,12,2,10,7,5,5,6,4,5,3,7,2,3,4,0,10,7,2,9,5,4,7,5,12,4,6,9,8,8,4,9,5,9,12,10,4,11,6,7,8,8,6,7,4,12,7,8,13,6,10,6,3,6,10,2,6,10,8,8,18,10,12,12,2,11,2,5,8,3,2,3,1,6,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000019,648,6,6,5,6,5,2,5,6,7,9,9,13,7,17,7,9,13,6,6,1,2,3,5,5,3,5,2,1,4,1,3,4,5,4,5,4,8,5,2,5,8,9,11,14,5,5,18,18,16,8,6,7,10,5,12,8,10,3,7,11,12,7,7,5,7,2,8,9,7,10,12,13,5,8,12,6,9,11,8,4,6,7,6,5,8,4,6,7,4,3,4,4,1,2,3,0,1,1,1,0,1
S01000020,914,5,7,7,3,5,4,7,10,6,6,10,13,11,11,15,22,11,9,11,9,7,5,8,12,12,7,5,5,8,15,1,6,6,11,14,6,6,7,10,11,12,9,10,9,18,11,20,10,11,16,17,19,11,15,14,9,13,28,10,13,10,11,11,10,11,10,12,8,11,4,4,6,8,8,17,9,6,8,8,16,8,3,14,15,5,7,5,7,11,5,7,7,2,2,2,3,2,1,1,0,0
S01000021,861,12,2,6,8,8,6,7,10,7,5,7,10,6,9,4,13,10,15,9,11,10,14,10,13,8,7,8,12,12,8,12,12,6,20,10,10,11,14,11,15,10,14,11,13,15,17,18,18,17,17,15,15,10,17,9,13,10,16,7,10,7,11,10,12,15,6,9,11,7,1,3,6,6,14,11,6,7,9,4,5,6,8,8,5,4,2,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0
S01000022,627,1,4,9,7,7,8,5,11,9,8,5,4,12,5,6,12,16,10,8,2,6,2,5,3,5,1,3,3,3,8,1,4,6,3,6,4,2,3,4,11,8,6,7,11,10,5,11,17,11,18,11,6,15,16,11,6,9,8,13,17,15,14,9,5,10,11,9,8,8,9,6,9,6,7,3,3,3,8,3,3,8,9,2,1,1,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0
S01000023,762,5,5,7,9,15,16,11,12,12,13,11,19,17,15,8,18,11,15,6,9,7,10,5,5,3,4,3,0,5,7,6,4,7,9,4,4,3,12,7,16,13,16,12,16,14,20,10,10,12,9,21,12,13,9,16,10,17,12,9,11,10,14,12,5,9,11,5,7,8,4,6,7,7,3,5,5,4,2,2,3,1,3,4,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
S01000024,519,8,1,6,9,10,7,12,7,10,11,11,16,6,22,6,17,15,11,5,4,0,4,4,0,2,0,1,0,2,0,2,3,2,5,3,3,8,8,8,10,16,6,7,7,13,16,11,9,16,7,10,4,10,5,8,5,5,5,16,7,3,5,4,12,4,4,5,4,2,2,2,2,2,4,2,3,1,4,0,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
