msoaiz,Total weekly income (£)
E02003796,640
E02003797,810
E02003798,520
E02003800,840
E02003799,520
E02003801,750
E02003802,560
E02003803,600
E02003886,600
E02003804,720
E02003887,730
E02003888,530
E02003805,870
E02003889,580
E02003806,820
E02003890,640
E02003807,840
E02003808,630
E02003891,800
E02003809,780
E02003810,720
E02002574,760
E02002575,910
E02002576,570
E02002577,530
E02002578,600
E02002579,550
E02002580,470
E02002581,650
E02002582,930
E02002583,530
E02002584,630
E02002585,550
E02002586,550
E02002587,580
E02002588,540
E02002589,780
E02002590,780
E02002591,780
E02002592,720
E02002593,750
E02002594,650
E02002595,480
E02002596,710
E02002597,540
E02002598,1000
E02002599,890
E02002600,540
E02002601,670
E02002602,510
E02002603,730
E02002604,760
E02002605,720
E02002606,500
E02002607,550
E02002608,710
E02002609,510
E02002610,920
E02002611,830
E02002612,790
E02002613,1020
E02002614,1070
E02003965,550
E02003966,730
E02003967,590
E02003968,600
E02003969,480
E02003970,730
E02003971,720
E02003972,580
E02003973,450
E02003974,550
E02003975,650
E02003976,600
E02003977,670
E02003978,620
E02003979,710
E02003980,500
E02003981,640
E02003982,720
E02003983,520
E02003984,430
E02003985,600
E02003986,570
E02003987,570
E02003988,600
E02003989,680
E02003990,700
E02003991,670
E02003992,520
E02003993,750
E02003994,510
E02003995,470
E02003996,530
E02003997,470
E02003998,510
E02003999,690
E02004000,590
E02004001,540
E02004002,740
E02004003,600
E02004004,520
E02004005,600
E02004006,740
E02004007,560
E02004008,690
E02004009,700
E02004010,500
E02004011,600
E02004012,720
E02004013,630
E02004014,630
E02004015,590
E02004016,610
E02004017,630
E02004018,550
E02004019,660
E02004020,670
E02004021,700
E02004022,710
E02004023,670
E02004024,770
E02004025,640
E02004026,600
E02004027,590
E02004028,710
E02000984,940
E02000985,830
E02000986,690
E02000987,540
E02000988,530
E02000989,740
E02000990,720
E02000991,640
E02000992,690
E02000993,460
E02000994,440
E02000995,670
E02000996,470
E02000997,700
E02000998,450
E02000999,380
E02001000,490
E02001001,690
E02001002,620
E02001003,880
E02001004,420
E02001005,500
E02001006,490
E02001007,610
E02001008,460
E02001009,520
E02001010,500
E02001011,770
E02001012,600
E02001013,760
E02001014,560
E02001015,490
E02001016,530
E02001017,640
E02001018,790
E02001019,710
E02001020,830
E02001021,860
E02001022,610
E02001023,790
E02001024,720
E02001025,510
E02001026,460
E02001027,560
E02001028,800
E02001029,550
E02001030,790
E02001031,610
E02001032,620
E02001033,580
E02001034,460
E02001035,760
E02001036,640
E02001037,780
E02001038,580
E02001039,570
E02001040,710
E02001041,640
E02001042,700
E02001043,630
E02001044,850
E02001045,480
E02001046,500
E02001047,500
E02001048,550
E02001049,550
E02001050,460
E02001051,510
E02001052,460
E02001053,390
E02001055,440
E02001056,420
E02001057,450
E02001059,440
E02001061,430
E02001062,390
E02001063,460
E02001064,430
E02001065,490
E02001066,450
E02001067,450
E02001068,410
E02001069,460
E02001070,490
E02001071,480
E02001072,590
E02001073,810
E02001074,540
E02001075,520
E02001076,590
E02001077,830
E02001078,600
E02001079,520
E02001080,580
E02001081,820
E02001082,820
E02001083,790
E02001084,690
E02001085,490
E02001086,690
E02001087,930
E02001088,540
E02001089,820
E02001090,640
E02001091,580
E02001092,530
E02001093,500
E02001094,460
E02001095,500
E02001096,540
E02001097,470
E02006902,660
E02006912,710
E02006913,520
E02006914,530
E02006915,450
E02006916,590
E02006917,1040
E02001098,640
E02001099,590
E02001100,630
E02001101,740
E02001102,690
E02001103,840
E02001104,680
E02001105,610
E02001106,580
E02001107,660
E02001108,470
E02001109,500
E02001110,840
E02001111,400
E02001112,760
E02001113,500
E02001114,540
E02001115,610
E02001116,520
E02001117,770
E02001118,780
E02001119,500
E02001121,460
E02001123,520
E02001124,450
E02001125,590
E02001126,470
E02001127,530
E02001128,560
E02001129,480
E02001130,610
E02001131,600
E02006860,530
E02001132,610
E02001133,730
E02001134,730
E02001135,460
E02001136,630
E02001137,820
E02001138,780
E02001139,490
E02001140,540
E02001141,420
E02001142,820
E02001143,510
E02001144,630
E02001145,650
E02001146,470
E02001147,510
E02001148,550
E02001149,450
E02001150,520
E02001151,620
E02001152,540
E02001153,460
E02001154,540
E02001155,490
E02001156,680
E02001157,480
E02001158,500
E02001159,560
E02001160,610
E02001161,590
E02001162,550
E02001163,660
E02001164,530
E02001165,600
E02001166,690
E02001167,570
E02001168,580
E02001169,890
E02001170,830
E02001171,680
E02001172,430
E02001173,410
E02001174,620
E02001175,580
E02001176,580
E02001177,540
E02001178,460
E02001179,490
E02001180,350
E02001181,470
E02001182,450
E02001183,550
E02001184,540
E02001185,600
E02001186,570
E02001187,600
E02001188,560
E02001189,620
E02001190,390
E02001191,650
E02001192,780
E02001193,520
E02001194,840
E02001195,630
E02001196,700
E02001197,750
E02001198,560
E02001199,850
E02001200,410
E02001201,640
E02001202,530
E02001203,970
E02001204,630
E02001205,550
E02001206,680
E02001207,710
E02001208,640
E02001209,630
E02001210,570
E02001211,810
E02001212,520
E02001213,660
E02001214,730
E02001215,730
E02001216,830
E02001217,580
E02001218,900
E02001219,790
E02001220,790
E02001221,810
E02001222,710
E02001223,900
E02001224,730
E02001225,860
E02001226,710
E02001227,930
E02001228,930
E02001229,640
E02001230,730
E02001231,690
E02001232,550
E02001233,530
E02001234,490
E02001235,590
E02001236,510
E02001237,580
E02001238,550
E02001239,520
E02001240,600
E02001241,420
E02001242,650
E02001243,680
E02001244,670
E02001245,540
E02001246,500
E02001247,530
E02001248,510
E02001249,570
E02001250,680
E02001251,700
E02001252,620
E02001253,590
E02001254,540
E02001255,480
E02001256,490
E02001257,510
E02001258,640
E02001259,490
E02001260,700
E02001261,620
E02001262,610
E02001263,750
E02001264,670
E02001265,660
E02001266,580
E02001267,640
E02001268,710
E02001269,640
E02001270,820
E02001271,650
E02001272,840
E02001273,810
E02001274,840
E02001275,570
E02001276,650
E02001277,620
E02001278,860
E02001279,930
E02001280,610
E02001281,860
E02001282,850
E02001283,830
E02001284,1130
E02001285,970
E02001286,920
E02001287,740
E02001288,730
E02001289,710
E02001290,660
E02001291,550
E02001292,700
E02001293,600
E02001294,550
E02001295,410
E02001296,420
E02001297,510
E02001298,460
E02001299,580
E02001300,500
E02001301,470
E02001302,550
E02001303,520
E02001304,680
E02001305,640
E02001306,640
E02001307,780
E02001308,600
E02001309,620
E02001310,530
E02001311,600
E02001312,560
E02001313,530
E02001314,800
E02001315,700
E02001316,500
E02001317,600
E02001318,580
E02001319,520
E02001320,570
E02001321,670
E02001322,640
E02001323,660
E02001324,580
E02001325,750
E02001326,710
E02005176,630
E02005177,500
E02005178,430
E02005179,500
E02005180,680
E02005181,540
E02005182,430
E02005183,550
E02005184,720
E02005185,440
E02005186,690
E02006881,540
E02005189,550
E02005190,850
E02005191,800
E02005192,900
