msoaiz,Total weekly income (£)
E02002824,560
E02002825,700
E02002826,810
E02002827,630
E02002828,600
E02002829,450
E02002830,580
E02002831,550
E02002832,470
E02002833,530
E02002834,610
E02002835,670
E02002836,450
E02002837,480
E02002838,450
E02002839,550
E02002842,510
E02002843,480
E02002844,430
E02002845,480
E02002846,700
E02002847,590
E02002848,500
E02002849,510
E02002851,650
E02002852,440
E02002853,650
E02002854,450
E02002855,640
E02002856,680
E02002857,570
E02002858,920
E02002860,580
E02002861,490
E02002862,440
E02006815,470
E02006817,640
E02006819,480
E02006850,440
E02006851,490
E02002868,640
E02002869,460
E02002871,540
E02002872,530
E02002873,540
E02002874,620
E02002875,540
E02002876,570
E02002877,660
E02002878,480
E02002879,650
E02002880,490
E02002881,460
E02002882,700
E02002883,530
E02002884,530
E02002885,450
E02002886,580
E02002887,560
E02002888,440
E02002889,410
E02002890,410
E02002891,570
E02002892,540
E02002893,460
E02002894,840
E02002895,790
E02002896,480
E02002897,750
E02002898,540
E02002899,550
E02002901,640
E02002902,470
E02002903,490
E02002904,480
E02006834,460
E02006904,640
E02006905,470
E02002863,770
E02002864,690
E02002865,730
E02002866,780
E02002867,750
E02004029,530
E02004030,720
E02004031,490
E02004032,650
E02004033,570
E02004034,640
E02004035,710
E02004036,550
E02004037,760
E02004038,610
E02004039,730
E02004040,620
E02004041,630
E02004043,650
E02004044,880
E02006827,510
E02004045,660
E02004046,630
E02004047,570
E02004048,590
E02004049,610
E02004050,580
E02004051,570
E02004052,610
E02004053,540
E02004054,600
E02004055,560
E02004056,540
E02004057,550
E02004058,480
E02004059,580
E02004060,590
E02004061,550
E02004062,620
E02004063,670
E02004064,550
E02004065,800
E02004066,630
E02004067,530
E02004068,780
E02004069,770
E02004070,620
E02004071,670
E02004072,730
E02004073,640
E02004074,650
E02004075,750
E02004076,620
E02004077,760
E02004078,490
E02004080,500
E02004081,740
E02004082,710
E02004083,600
E02004084,470
E02004085,630
E02004086,710
E02004087,560
E02004088,760
E02004089,500
E02004090,670
E02004091,640
E02004092,600
E02006828,720
E02004093,680
E02004094,590
E02004095,620
E02004096,890
E02004097,780
E02004098,660
E02004100,760
E02004102,570
E02004103,580
E02004104,740
E02006872,680
E02004105,630
E02004106,720
E02004108,590
E02004109,780
E02004110,770
E02004111,640
E02004112,760
E02004113,550
E02004114,720
E02004115,630
E02004116,500
E02004117,620
E02006804,580
E02004118,780
E02004119,900
E02004120,740
E02004121,860
E02004122,840
E02004123,730
E02004124,590
E02004125,580
E02004126,570
E02004128,640
E02006919,640
E02006920,650
E02005334,780
E02005335,790
E02005336,720
E02005337,620
E02005338,650
E02005339,830
E02005340,640
E02005341,770
E02005342,720
E02005343,730
E02005344,750
E02006820,680
E02005345,690
E02005346,480
E02005347,530
E02005348,630
E02005349,640
E02005350,620
E02005351,610
E02005352,940
E02005353,630
E02005354,850
E02005355,760
E02005356,820
E02005357,660
E02005358,760
E02005359,700
E02005360,890
E02005361,670
E02005362,620
E02005363,710
E02005364,690
E02005365,570
E02005366,650
E02005368,890
E02005369,810
E02005370,860
E02005371,810
E02005372,900
E02005373,770
E02005374,540
E02005375,810
E02005376,700
E02006816,800
E02005377,680
E02005378,790
E02005379,720
E02005380,750
E02005381,710
E02005382,580
E02005383,580
E02005384,770
E02005385,770
E02005386,550
E02005387,690
E02005388,570
E02005389,590
E02005390,790
E02005391,780
E02005392,690
E02005393,720
E02005394,580
E02005395,610
E02005396,790
E02005397,730
E02005398,710
E02005399,750
E02005400,640
E02005401,810
E02005402,750
E02005403,610
E02005404,660
E02005405,580
E02005406,550
E02005407,700
E02005408,690
E02005409,620
E02005412,640
E02005414,510
E02005415,560
E02005416,720
E02006818,680
E02006911,850
E02005417,570
E02005418,450
E02005419,520
E02005420,490
E02005422,630
E02005423,550
E02006864,650
E02006865,620
E02005424,670
E02005425,650
E02005426,560
E02005427,580
E02005428,540
E02005429,520
E02005430,610
E02005431,580
E02005432,650
E02005433,530
E02005434,540
E02005435,520
E02005436,550
E02005437,450
E02005438,510
E02005439,630
E02005440,570
E02005441,610
E02005442,440
E02005443,570
E02005444,630
E02005445,490
E02005446,510
E02005447,450
E02005448,530
E02005449,580
E02005450,650
E02005451,450
E02005452,600
E02005453,740
E02005455,720
E02005456,640
E02005457,640
E02005458,740
E02005459,610
E02005460,830
E02005461,670
E02005462,540
E02005463,740
E02005464,640
E02006866,640
E02006867,610
E02005465,600
E02005466,590
E02005467,520
E02005468,620
E02005469,610
E02005470,560
E02005471,530
E02005472,510
E02005473,590
E02005474,600
E02005475,700
E02005476,790
E02005477,700
E02005478,560
E02005479,650
E02005480,550
E02005481,560
E02005482,720
E02005483,700
E02005484,700
E02005485,650
E02005486,630
E02005487,880
E02005488,730
E02005489,770
E02005490,600
E02005491,720
E02005492,680
E02005493,660
E02005494,590
E02005495,480
E02005496,700
E02005497,490
E02005498,660
E02005499,740
E02005500,720
E02005501,770
E02005502,640
E02005612,660
E02005613,560
E02005614,630
E02005615,550
E02005616,540
E02005617,530
E02006862,620
E02006863,890
E02005619,860
E02005620,860
E02005621,740
E02005622,890
E02005623,780
E02005624,750
E02005625,580
E02005626,580
E02005627,730
E02005628,780
E02005629,800
E02005630,810
E02005631,780
E02005632,750
E02005633,610
E02005634,610
E02005635,710
E02005636,620
E02005637,490
E02005638,750
E02005639,820
E02005640,670
E02005641,660
E02005642,740
E02005643,510
E02005644,560
E02005645,580
E02005646,690
E02005647,590
E02005648,790
E02005649,700
E02005650,640
E02005651,620
E02005652,580
E02005653,610
E02005654,650
E02005655,650
E02005656,570
E02005657,650
E02005658,500
E02005659,580
E02005660,600
E02005661,550
E02005662,640
E02005663,790
E02005664,570
E02005665,720
E02005666,480
E02005667,570
E02005668,620
E02005669,870
E02005670,420
E02005671,690
E02005672,530
E02005673,570
E02005674,550
E02005675,610
E02005676,630
E02005677,710
E02005678,880
E02005679,890
E02005680,1050
E02005681,780
E02005682,820
E02005683,800
E02005684,890
E02005685,760
E02005686,770
E02005687,890
E02005688,840
E02005689,870
E02005690,650
E02005691,810
E02005692,630
E02005693,650
E02005694,780
E02005695,500
E02005696,520
E02005697,480
E02005698,590
E02005699,590
E02005700,730
E02005701,670
E02005819,540
E02005820,590
E02005821,520
E02005822,510
E02005823,430
E02005824,620
E02005825,600
E02005826,490
E02005827,620
E02005828,590
E02005829,590
E02005830,600
E02005831,640
E02005832,540
E02005833,650
E02005834,510
E02005835,550
E02005836,710
E02005837,690
E02005838,630
E02005839,540
E02005840,720
E02005842,610
E02005843,670
E02005844,570
E02005846,480
E02005847,630
E02005848,670
E02005849,680
E02006903,580
E02005850,590
E02005851,500
E02005852,640
E02005853,700
E02005856,860
E02005857,610
E02005858,740
E02005859,620
E02005860,590
E02005861,650
E02005862,660
E02005863,730
E02005864,860
E02006906,750
E02005865,800
E02005866,690
E02005868,620
E02005869,530
E02005870,540
E02005871,710
E02005872,770
E02005873,790
E02005874,750
E02005875,640
E02005876,630
E02005877,630
E02005878,560
E02005879,590
E02006835,680
E02005880,590
E02005881,560
E02005882,650
E02005883,540
E02005884,630
E02005885,550
E02005886,650
E02005887,480
E02005888,480
E02005889,550
E02005890,700
E02005891,530
E02005892,780
E02005893,550
E02005894,660
E02005895,770
E02005896,720
E02005897,740
E02005898,600
E02005899,500
E02005900,760
E02005901,640
E02005902,510
E02005903,590
E02005904,780
E02005905,770
E02005906,790
E02005907,770
E02005908,800
E02005909,1020
E02005910,800
E02005911,1000
E02005912,870
E02005913,890
E02005914,690
E02005915,860
E02005916,740
E02005917,920
E02005918,730
E02005919,740
E02005920,850
E02002905,700
E02002906,560
E02002907,530
E02002908,700
E02002909,650
E02002910,620
E02002911,720
E02002912,770
E02002913,820
E02002914,600
E02002915,660
E02002916,530
E02002917,620
E02002918,710
E02002919,580
E02002920,700
E02002921,510
E02002922,780
E02002923,620
E02002924,720
E02002925,700
E02002926,580
E02002927,730
E02006015,580
E02006016,750
E02006023,620
E02006017,640
E02006018,600
E02006024,560
E02006025,580
E02006019,570
E02006020,760
E02006021,820
E02006026,740
E02006027,740
E02006022,790
E02006028,730
E02006029,570
E02006030,610
E02006031,590
E02006032,590
E02006033,650
E02006034,740
E02006035,710
E02006036,660
E02006037,730
E02006038,710
E02006008,700
E02006039,700
E02006009,760
E02006040,800
E02006010,660
E02006041,670
E02006011,630
E02006042,690
E02006012,640
E02006013,750
E02006014,670
E02006043,650
E02006044,680
E02006045,540
E02006046,670
E02002951,590
E02002952,520
E02002953,530
E02002954,530
E02002955,470
E02002956,530
E02002957,650
E02002958,530
E02002959,450
E02002960,610
E02002961,490
E02002962,490
E02002963,470
E02002964,540
E02002965,480
E02002966,430
E02002967,460
E02002968,640
E02002969,530
E02002970,500
E02002971,570
E02002972,540
E02002973,570
E02002974,590
E02002975,660
E02002976,590
E02002977,520
E02002978,490
E02002979,560
E02002980,660
E02002981,620
E02002982,490
E02002983,790
E02002984,810
E02002928,740
E02002929,770
E02002930,650
E02002931,880
E02002932,570
E02002933,720
E02002934,710
E02002935,600
E02002936,610
E02002937,800
E02002938,580
E02002939,620
E02002940,580
E02002941,570
E02002942,1040
E02002943,790
E02002944,500
E02002945,610
E02002946,610
E02002947,620
E02002948,520
E02002949,560
E02002950,570
E02006118,690
E02006119,550
E02006120,610
E02006121,600
E02006122,600
E02006123,700
E02006124,510
E02006125,550
E02006126,620
E02006127,890
E02006128,670
E02006129,510
E02006130,610
E02006131,720
E02006132,590
E02006133,660
E02006134,740
E02006135,710
E02006136,740
E02006137,560
E02006138,530
E02006139,500
E02006140,630
E02006141,510
E02006142,780
E02006143,720
E02006144,500
E02006145,790
E02006146,700
E02006147,860
E02006148,840
E02006149,620
E02006150,820
E02006151,620
E02006152,850
E02006153,860
E02006154,660
E02006155,560
E02006156,860
E02006157,650
E02006158,700
E02006159,530
E02006160,570
E02006161,720
E02006162,650
E02006163,560
E02006164,520
E02006165,600
E02006166,700
E02006167,490
E02006168,530
E02006169,550
E02006170,730
E02006171,630
E02006172,810
E02006173,830
E02006174,740
E02006175,650
E02006176,770
E02006177,680
E02006178,620
E02006179,660
E02006180,620
E02006181,560
E02006182,820
E02006183,850
E02006184,710
E02006185,630
E02006186,730
E02006187,770
E02006188,720
E02006189,750
E02006190,640
E02006191,880
E02006192,760
E02006193,730
E02006194,620
E02006195,800
E02006196,530
E02006197,540
E02006198,770
E02006199,800
E02006200,520
E02006201,840
E02006202,810
E02006203,620
E02006204,550
E02006205,740
E02006206,560
E02006207,620
E02006208,530
E02006209,680
E02006210,710
E02006211,690
E02006212,670
E02006213,620
E02006214,570
E02006215,680
E02006216,710
E02006217,640
E02006218,500
E02006219,680
E02006220,580
E02006221,770
E02006222,590
E02006223,510
E02006224,780
E02006225,730
E02006226,690
E02006468,690
E02006469,600
E02006470,580
E02006471,710
E02006472,620
E02006473,680
E02006474,720
E02006475,720
E02006476,550
E02006477,830
E02006478,780
E02006479,520
E02006480,550
E02006481,580
E02006482,690
E02006483,510
E02006484,620
E02006485,850
E02006486,650
E02006487,520
E02006488,640
E02006489,620
E02006490,660
E02006806,570
E02006492,810
E02006493,730
E02006494,540
E02006495,750
E02006496,610
E02006497,600
E02006498,810
E02006499,790
E02006500,680
E02006501,640
E02006502,640
E02006503,840
E02006504,890
E02006505,730
E02006506,640
E02006507,720
E02006508,830
E02006509,630
E02006510,810
E02006511,780
E02006512,610
E02006513,900
E02006514,710
E02006515,720
E02006516,810
E02006517,830
E02006518,700
E02006519,840
E02006520,930
E02006521,800
E02006522,950
E02006523,750
E02006524,590
E02006525,760
E02006526,670
E02006527,820
E02006528,660
E02006529,710
E02006530,870
E02006531,540
E02006532,940
E02006533,730
E02001827,790
E02001828,750
E02001829,970
E02001830,920
E02001831,610
E02001832,870
E02001833,720
E02001834,530
E02001835,820
E02001836,790
E02001837,470
E02001838,850
E02001839,530
E02001840,460
E02001841,950
E02001842,640
E02001843,590
E02001844,650
E02001845,640
E02001846,490
E02001847,670
E02001848,510
E02001849,510
E02001850,620
E02001851,600
E02001852,530
E02001854,570
E02001855,470
E02001856,560
E02001857,510
E02001858,560
E02001859,540
E02001860,500
E02001861,500
E02001862,490
E02001863,460
E02001864,480
E02001865,500
E02001866,450
E02001867,440
E02001868,650
E02001869,400
E02001870,550
E02001871,460
E02001872,450
E02001873,460
E02001874,470
E02001875,470
E02001876,400
E02001877,490
E02001878,480
E02001879,480
E02001880,480
E02001881,490
E02001882,520
E02001883,470
E02001884,540
E02001886,660
E02001888,510
E02001889,530
E02001890,720
E02001892,480
E02001893,560
E02001895,480
E02001896,490
E02001897,390
E02001898,610
E02001899,910
E02001900,620
E02001901,950
E02001902,580
E02001903,490
E02001904,520
E02001905,760
E02001906,690
E02001907,570
E02001908,520
E02001909,500
E02001910,460
E02001911,540
E02001913,590
E02001914,770
E02001915,540
E02001916,540
E02001918,630
E02001919,650
E02001920,530
E02001921,600
E02001922,710
E02001923,610
E02001924,600
E02001925,720
E02001926,650
E02001927,520
E02001928,540
E02001929,490
E02001930,800
E02001931,690
E02001932,500
E02001933,600
E02001934,740
E02001935,670
E02001936,770
E02001937,500
E02001938,710
E02001939,590
E02001941,500
E02001942,660
E02001943,610
E02001944,660
E02001945,510
E02001946,720
E02001947,410
E02001948,560
E02001949,570
E02001950,600
E02001951,500
E02001952,470
E02001953,660
E02001954,480
E02001955,560
E02001956,650
E02001957,620
E02006807,730
E02006809,730
E02006895,480
E02006896,520
E02006897,450
E02006898,670
E02006899,820
E02006900,500
E02006901,530
E02001958,570
E02001959,630
E02001961,470
E02001962,520
E02001963,640
E02001964,480
E02001965,680
E02001966,530
E02001967,700
E02001968,580
E02001969,510
E02001970,550
E02001971,650
E02001972,420
E02001973,520
E02001974,670
E02001975,650
E02001976,610
E02001977,470
E02001978,640
E02001979,660
E02001980,750
E02001981,430
E02001982,720
E02001983,660
E02001984,640
E02001985,520
E02001986,490
E02001987,600
E02001988,470
E02001989,660
E02001990,740
E02001991,810
E02001992,570
E02001993,590
E02001994,650
E02001995,540
E02001996,440
E02001997,790
E02001998,780
E02001999,700
E02006805,530
E02002000,530
E02002001,570
E02002002,680
E02002003,560
E02002004,560
E02002005,530
E02002006,560
E02002007,570
E02002008,810
E02002009,530
E02002010,490
E02002011,710
E02002012,490
E02002013,690
E02002014,560
E02002015,590
E02002016,490
E02002017,500
E02002018,710
E02002019,530
E02002020,630
E02002021,460
E02002022,530
E02002023,640
E02002024,540
E02002025,620
E02002026,680
E02002027,860
E02002028,630
E02002029,680
E02002030,560
E02002031,620
E02002032,540
E02002033,630
E02002034,630
E02002035,750
E02002036,490
E02002037,630
E02002038,590
E02002039,750
E02002040,830
E02002041,710
E02002042,740
E02002043,540
E02002044,560
E02002045,530
E02002046,510
E02002047,500
E02002048,680
E02002049,590
E02002051,490
E02002052,500
E02002053,620
E02002054,630
E02002055,520
E02002056,480
E02002057,500
E02002058,530
E02002059,500
E02002060,460
E02002061,490
E02002062,440
E02002063,570
E02002064,550
E02002065,520
E02002066,480
E02002067,610
E02002068,470
E02002069,510
E02002070,460
E02002071,540
E02002072,580
E02002073,520
E02002074,570
E02002075,540
E02002076,690
E02002077,550
E02002078,670
E02002079,530
E02002080,530
E02006810,600
E02002081,640
E02002082,530
E02002083,640
E02002084,530
E02002085,540
E02002086,470
E02002087,490
E02002088,520
E02002089,650
E02002090,720
E02002091,610
E02002092,590
E02002093,660
E02002094,910
E02002095,800
E02002096,820
E02002097,830
E02002098,730
E02002099,960
E02002101,610
E02002102,730
E02002103,700
E02002104,1080
E02002105,970
E02002106,900
E02002107,980
E02002108,1020
E02002109,1030
E02006808,730
E02002110,610
E02002111,520
E02002112,640
E02002113,570
E02002114,570
E02002115,500
E02002116,700
E02002117,560
E02002118,480
E02002119,590
E02002120,660
E02002121,450
E02002122,510
E02002123,540
E02002124,580
E02002125,540
E02002126,440
E02002127,490
E02002128,560
E02002129,600
E02002130,500
E02002131,750
E02002132,480
E02002133,600
E02002134,540
E02002135,490
E02002136,550
E02002137,800
E02002138,760
E02002139,490
E02002140,480
E02002141,780
E02002142,490
E02002143,510
E02002144,830
E02002145,490
E02002146,610
E02002147,500
E02002148,620
E02002149,560
E02002150,580
E02002151,530
E02002152,520
E02002153,500
E02002154,550
E02002155,480
E02002156,560
E02002157,690
E02002158,510
E02002159,540
E02002160,600
E02002161,530
E02002162,680
E02002163,460
E02002164,450
E02002165,550
E02002166,470
E02002167,660
E02002168,440
E02002169,730
E02002170,540
E02002171,510
E02002174,690
E02002175,480
E02002176,570
E02002177,470
E02002178,680
E02002179,740
E02002180,550
E02002181,490
E02002182,520
E02006894,470
E02006696,970
E02006697,790
E02006698,690
E02006699,710
E02006700,740
E02006701,960
E02006702,680
E02006703,870
E02006704,760
E02006705,670
E02006706,590
E02006707,1000
E02006708,630
E02006709,760
E02006710,680
E02006711,790
E02006712,810
E02006713,630
E02006714,750
E02006715,750
E02006716,570
E02006717,720
E02006718,630
E02006719,740
E02006720,690
E02006721,790
E02006722,560
E02006723,590
E02006724,510
E02006725,620
E02006726,650
E02006727,700
E02006728,720
E02006729,710
E02006730,560
E02006731,620
E02006732,760
E02006733,810
E02006734,770
E02006735,450
E02006736,930
E02006737,660
E02006738,540
E02006739,670
E02006740,640
E02006741,1040
E02006742,560
E02006743,630
E02006744,620
E02006745,710
E02006746,750
E02006747,870
E02006748,780
E02006749,610
E02006750,620
E02006751,620
E02006752,900
E02006753,800
E02006754,930
E02006755,870
E02006756,890
E02006757,760
E02006758,720
E02006759,590
E02006760,680
E02006761,510
E02006762,690
E02006763,710
E02006764,610
E02006765,670
E02006766,860
E02006767,710
E02006768,640
E02006769,670
E02006770,520
E02006771,670
E02006772,610
E02006773,590
E02006774,600
E02006775,510
E02006776,750
E02006777,710
E02006778,630
E02006779,650
E02006780,590
E02003616,1120
E02003617,1030
E02003618,920
E02003619,940
E02003620,860
E02003621,910
E02003622,720
E02003623,1180
E02003624,770
E02003625,610
E02003626,940
E02003627,760
E02003628,750
E02003629,650
E02003630,700
E02003631,800
E02003632,800
E02003633,770
E02003634,930
E02003635,910
E02003599,880
E02003600,830
E02003601,990
E02003602,960
E02003603,800
E02003604,870
E02003605,950
E02003606,1030
E02003607,960
E02003608,880
E02003609,980
E02003610,1070
E02003611,1060
E02003612,1020
E02003613,880
E02003614,990
E02003615,1050
E02003636,1010
E02003637,950
E02003638,950
E02003639,730
E02003640,940
E02003641,1120
E02003643,1010
E02003642,720
E02003644,790
E02003645,860
E02003646,790
E02003647,780
E02003648,720
E02003649,990
E02003650,940
E02003651,860
E02003258,960
E02003259,810
E02003260,650
E02003261,800
E02003262,670
E02003263,770
E02003264,1080
E02003265,810
E02003266,670
E02003267,810
E02003268,820
E02003269,830
E02003270,800
E02003271,930
E02003272,730
E02003273,740
E02003274,600
E02003275,580
E02003276,690
E02003277,650
E02003278,690
E02003237,910
E02003238,830
E02003239,880
E02003240,1150
E02003241,820
E02003242,720
E02003243,580
E02003244,580
E02003245,620
E02003246,670
E02003247,710
E02003248,760
E02003249,630
E02003250,650
E02003251,960
E02003252,800
E02003253,690
E02003254,940
E02003255,730
E02003257,620
E02006877,930
E02006878,1130
E02003279,720
E02003280,690
E02003281,710
E02003282,750
E02003283,750
E02003284,690
E02003285,780
E02003286,1060
E02003287,760
E02003288,560
E02003289,950
E02003290,780
E02003291,690
E02003292,590
E02003293,650
E02003294,870
E02003295,800
E02003296,880
E02003297,740
E02003298,740
E02003299,990
E02003300,850
E02003301,720
E02003302,640
E02003303,710
E02003304,760
E02003305,810
E02003307,670
E02003308,860
E02003309,850
E02003310,780
E02003311,780
E02003312,730
E02003313,660
E02006859,1480
E02006926,1240
E02003719,750
E02003720,840
E02003721,890
E02003722,1120
E02003723,890
E02003724,840
E02003725,900
E02003726,1110
E02003727,1010
E02003728,900
E02003729,920
E02003730,1010
E02003731,1100
E02003732,730
E02003733,870
E02003734,900
E02003735,990
E02003736,930
E02003737,770
E02003738,910
E02003739,950
E02003740,960
E02006825,970
E02003742,680
E02003743,610
E02003744,600
E02003745,710
E02003746,680
E02003747,680
E02003748,650
E02003749,810
E02003750,650
E02003751,800
E02003752,730
E02003753,840
E02003754,1040
E02003755,790
E02003756,950
E02003757,960
E02003758,980
E02003759,1090
E02003760,700
E02003761,880
E02003762,1010
E02003763,950
E02003764,970
E02003765,830
E02003766,950
E02003767,1140
E02003768,1090
E02003769,950
E02003770,1050
E02003771,810
E02003772,990
E02003773,800
E02003774,780
E02003775,1070
E02003776,1000
E02003777,1110
E02003778,1030
E02003779,1000
E02003780,990
E02003781,1070
E02003783,1130
E02003784,1120
E02003785,990
E02003786,1070
E02003787,970
E02003788,1150
E02003789,890
E02003790,1040
E02003791,1140
E02003792,980
E02003793,1070
E02006873,1490
E02006874,1120
E02004424,1240
E02004425,960
E02004426,1040
E02004427,940
E02004428,730
E02004429,800
E02004430,940
E02004431,870
E02004432,980
E02004433,770
E02004434,720
E02004435,660
E02004436,600
E02004437,680
E02004438,610
E02004439,660
E02004440,710
E02004441,650
E02004442,610
E02004443,780
E02004444,1010
E02004445,690
E02004446,930
E02004447,960
E02004448,770
E02004449,670
E02004450,950
E02004451,860
E02004452,820
E02004453,670
E02004454,730
E02004455,1010
E02004456,720
E02004457,810
E02004458,1090
E02004459,960
E02004460,800
E02004461,760
E02004462,770
E02004463,890
E02004464,960
E02004465,940
E02004466,860
E02004467,820
E02004468,1210
E02004469,1020
E02004470,930
E02004471,840
E02004472,1020
E02004473,840
E02004474,780
E02004475,870
E02004476,950
E02004477,810
E02004478,750
E02004479,820
E02004480,810
E02004481,630
E02004482,670
E02004483,690
E02004484,670
E02004485,1010
E02004486,1000
E02004487,840
E02004488,950
E02004489,1120
E02004490,690
E02004491,1040
E02004492,1010
E02004493,940
E02004494,910
E02004495,870
E02004496,1080
E02004497,960
E02004498,810
E02004499,1010
E02004500,1040
E02004501,930
E02004502,960
E02004503,940
E02004504,1040
E02004505,830
E02004506,1010
E02004507,940
E02004508,1000
E02004509,1050
E02004512,820
E02004513,580
E02004514,950
E02004515,990
E02004516,830
E02004517,810
E02004518,1090
E02004519,840
E02004520,870
E02004521,710
E02004522,830
E02004523,750
E02004524,990
E02004525,750
E02004526,790
E02006922,810
E02004527,890
E02004528,910
E02004529,970
E02004530,840
E02004531,880
E02004532,920
E02004533,680
E02004534,810
E02004535,750
E02004536,940
E02004537,640
E02004538,1020
E02004539,850
E02004540,1080
E02004541,1010
E02004542,1110
E02004543,940
E02004544,830
E02004545,640
E02004546,670
E02004547,750
E02004548,1110
E02004549,660
E02004550,690
E02004551,670
E02004552,790
E02004553,780
E02004554,790
E02004555,850
E02004556,1050
E02004557,860
E02004558,680
E02004559,930
E02004560,800
E02004561,900
E02004562,790
E02004563,750
E02004564,880
E02004565,880
E02004566,730
E02004567,920
E02004568,910
E02004569,750
E02004570,820
E02004571,900
E02004572,810
E02004573,580
E02004574,610
E02004575,830
E02004576,740
E02004577,880
E02004578,610
E02004579,740
E02004580,630
E02004581,820
E02004582,610
E02004583,690
E02004584,590
E02004585,670
E02004586,610
E02004587,620
E02004588,480
E02004589,620
E02004590,550
E02004591,1170
E02004592,830
E02004593,1110
E02004594,1050
E02004595,1010
E02004596,950
E02004597,890
E02004598,1020
E02004599,1020
E02004843,1000
E02004844,790
E02004845,730
E02004846,1070
E02004847,820
E02004848,930
E02004849,1080
E02004850,760
E02004851,760
E02004852,790
E02004853,710
E02004854,760
E02004855,660
E02004856,1050
E02004857,1070
E02004858,980
E02004859,1200
E02004860,930
E02004861,1100
E02004862,750
E02004863,680
E02004864,1290
E02004865,850
E02004866,800
E02004867,1130
E02004868,740
E02004869,1230
E02004870,810
E02004871,880
E02004872,980
E02004873,1070
E02004874,840
E02004875,820
E02004876,1030
E02004877,1050
E02004878,960
E02004879,1070
E02004880,1200
E02004881,1010
E02004882,1080
E02004883,990
E02004884,840
E02004885,1240
E02004886,970
E02004887,1090
E02004888,970
E02004889,880
E02004890,980
E02004891,1100
E02004892,860
E02004893,1230
E02004894,1120
E02004895,970
E02004896,920
E02004897,950
E02004898,800
E02004899,1010
E02004900,1300
E02004901,660
E02004902,850
E02004903,950
E02004904,830
E02004905,1160
E02004906,910
E02004907,980
E02004908,990
E02004909,830
E02004910,990
E02004911,670
E02004912,870
E02004913,1080
E02004914,810
E02004915,810
E02004916,990
E02004917,850
E02004918,990
E02004919,940
E02004920,880
E02004921,1070
E02004922,990
E02004923,1000
E02004924,1460
E02004925,1220
E02004926,1470
E02004927,1140
E02004928,1400
E02004929,1070
E02004930,1090
E02004931,1100
E02004932,1040
E02004933,1530
E02004934,1290
E02004935,1160
E02004936,1320
E02004937,1340
E02004938,1170
E02004939,980
E02004940,960
E02004941,990
E02004942,1000
E02004943,1070
E02004944,850
E02004945,950
E02004946,820
E02004947,990
E02004948,790
E02004949,720
E02004950,850
E02004951,670
E02004952,800
E02004953,750
E02004954,770
E02004955,820
E02004956,960
E02004957,970
E02004958,1040
E02004959,1190
E02004960,1350
E02004961,1070
E02004962,1050
E02004963,880
E02004964,860
E02004965,810
E02004966,1400
E02004967,650
E02004968,810
E02004969,930
E02004970,770
E02004971,860
E02004972,1060
E02004973,940
E02004974,1000
E02004975,1270
E02004976,790
E02004977,930
E02004978,810
E02004979,1050
E02004980,1230
E02004981,1080
E02004982,1010
E02004983,850
E02004984,890
E02004985,970
E02004986,760
E02004987,910
E02004988,870
E02004989,780
E02004990,860
E02004991,680
E02004992,740
E02004993,760
E02004994,1130
E02004995,1070
E02005503,810
E02005504,740
E02005505,710
E02005506,760
E02005507,660
E02005508,820
E02005509,600
E02005510,720
E02005511,640
E02005512,790
E02005513,690
E02005514,770
E02005515,870
E02005516,820
E02005517,650
E02005518,770
E02005519,670
E02005520,720
E02005521,830
E02005522,790
E02005523,850
E02005524,760
E02005525,870
E02005526,840
E02005527,870
E02005528,790
E02005529,670
E02005530,720
E02005531,750
E02005532,690
E02005533,850
E02005534,720
E02005535,990
E02005536,840
E02005537,770
E02005538,680
E02005539,780
E02005540,640
E02005541,590
E02005542,520
E02005543,520
E02005544,610
E02005545,750
E02005546,570
E02005547,720
E02005548,630
E02005549,780
E02005550,740
E02005551,600
E02005552,720
E02005553,600
E02005554,700
E02005555,980
E02005556,760
E02005557,550
E02005558,730
E02005559,660
E02005560,760
E02005561,580
E02005562,770
E02005563,740
E02005564,880
E02005565,740
E02005566,670
E02005567,650
E02005568,750
E02005569,750
E02005570,650
E02005571,690
E02005572,580
E02005573,670
E02005574,730
E02005575,760
E02005576,670
E02005577,770
E02005578,720
E02005579,600
E02005580,640
E02005581,750
E02005582,670
E02005583,700
E02005584,660
E02005585,580
E02005586,700
E02005587,590
E02005588,670
E02005589,640
E02005590,500
E02005592,990
E02005593,610
E02005594,690
E02005595,910
E02005596,600
E02006907,720
E02006908,690
E02005597,710
E02005598,1040
E02005599,860
E02005600,880
E02005601,720
E02005602,880
E02005603,880
E02005604,810
E02005605,930
E02005606,850
E02005607,830
E02005608,770
E02005609,710
E02005610,800
E02005611,670
E02006227,830
E02006228,810
E02006229,770
E02006230,850
E02006231,900
E02006232,830
E02006233,610
E02006234,720
E02006235,970
E02006236,970
E02006237,870
E02006238,650
E02006239,860
E02006240,960
E02006241,700
E02006242,950
E02006243,740
E02006826,750
E02006245,670
E02006246,770
E02006247,670
E02006248,820
E02006249,950
E02006250,670
E02006251,700
E02006252,750
E02006253,840
E02006254,600
E02006255,830
E02006256,620
E02006257,620
E02006258,740
E02006259,670
E02006260,630
E02006261,830
E02006262,890
E02006263,840
E02006264,950
E02006265,780
E02006266,880
E02006267,950
E02006268,620
E02006269,890
E02006270,860
E02006271,850
E02006272,820
E02006273,830
E02006274,960
E02006275,630
E02006276,880
