URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing,,,,,,,,,,,,,,,
142281,"St Patrick's Catholic College, A Voluntary Catholic Academy",556,TS17 9DE,445905,516696,,,,,,,,,,,,,,,
138089,Haughton Academy,900,DL1 2AN,430650,516255,,,,,,,,,,,,,,,
138845,Nunthorpe Academy,1675,TS7 0LA,454282,515447,,,,,,,,,,,,,,,
137622,Carmel College,1382,DL3 8RW,426883,514456,,,,,,,,,,,,,,,
136838,Hummersknott Academy,1200,DL3 8AR,426355,514079,,,,,,,,,,,,,,,
139606,All Saints Church of England Academy,700,TS17 5BL,444073,513864,,,,,,,,,,,,,,,
143063,Egglescliffe School,1500,TS16 0LA,441541,513641,,,,,,,,,,,,,,,
139318,Conyers School,1366,TS15 9ET,442187,511367,,,,,,,,,,,,,,,
136525,Hurworth School,635,DL2 2JG,429841,509938,,,,,,,,,,,,,,,
137107,Kirkby Stephen Grammar School,545,CA17 4HA,377253,508812,,,,,,,,,,,,,,,
141930,Stokesley School,1410,TS9 5AL,453052,508326,,,,,,,,,,,,,,,
147213,St Francis Xavier School - a Joint Catholic and Church of England Voluntary Academy,488,DL10 7DA,418333,501602,,,,,,,,,,,,,,,
145090,Richmond School,1649,DL10 7BQ,417972,501285,,,,,,,,,,,,,,,
136526,The Queen Katherine School,1464,LA9 6PJ,352291,494014,,,,,,,,,,,,,,,
137269,Settlebeck School,220,LA10 5AL,366264,492026,,,,,,,,,,,,,,,
136671,Kirkbie Kendal School,1060,LA9 7EQ,351883,491570,,,,,,,,,,,,,,,
143288,Scalby School,1017,YO12 6TH,501940,489810,,,,,,,,,,,,,,,
147212,St Augustine's Catholic School - a Catholic voluntary academy,563,YO12 5LH,502449,487513,,,,,,,,,,,,,,,
137205,Dallam School,1050,LA7 7DD,349998,481716,,,,,,,,,,,,,,,
136357,Queen Elizabeth School,1620,LA6 2HJ,360707,478609,,,,,,,,,,,,,,,
137338,Cartmel Priory CofE School,380,LA11 7SA,338127,478474,,,,,,,,,,,,,,,
137412,Outwood Academy Ripon,750,HG4 2DE,430220,471316,,,,,,,,,,,,,,,
136728,Norton College,1028,YO17 9PT,479633,470649,,,,,,,,,,,,,,,
145082,Carnforth High School,754,LA5 9LS,350378,470279,,,,,,,,,,,,,,,
147260,Central Lancaster High School,900,LA1 3LS,348834,462330,,,,,,,,,,,,,,,
136742,Lancaster Royal Grammar School,1165,LA1 3EF,348363,461536,,,,,,,,,,,,,,,
136381,Lancaster Girls' Grammar School,1065,LA1 1SF,347497,461382,,,,,,,,,,,,,,,
136731,Ripley St Thomas Church of England Academy,1754,LA1 4RS,347553,460657,,,,,,,,,,,,,,,
138190,Harrogate High School,850,HG1 4AP,431512,455987,,,,,,,,,,,,,,,
137139,St Aidan's Church of England High School,1903,HG2 8JR,431226,454660,,,,,,,,,,,,,,,
136497,Harrogate Grammar School,1954,HG2 0DZ,429831,454195,,,,,,,,,,,,,,,
136544,Manor Church of England Academy,1001,YO26 6PA,456691,453546,,,,,,,,,,,,,,,
136896,Rossett School,1418,HG2 9JP,429450,453431,,,,,,,,,,,,,,,
136664,Skipton Girls' High School,744,BD23 1QL,398304,451970,,,,,,,,,,,,,,,
136617,"Archbishop Holgate's School, A Church of England Academy",970,YO10 5ZA,463027,451121,,,,,,,,,,,,,,,
142648,Millthorpe School,1020,YO23 1WF,459791,450693,,,,,,,,,,,,,,,
144711,Fulford School,1603,YO10 4FY,461355,449316,,,,,,,,,,,,,,,
143588,Woldgate School and Sixth Form College,1100,YO42 2LL,481242,449140,,,,,,,,,,,,,,,
136905,Ilkley Grammar School,1960,LS29 8TR,412318,447313,,,,,,,,,,,,,,,
137704,Otley Prince Henry's Grammar School Specialist Language College,1368,LS21 2BB,420208,446325,,,,,,,,,,,,,,,
142856,West Craven High School,845,BB18 5TB,388265,446270,,,,,,,,,,,,,,,
136997,Bowland High,575,BB7 4QS,376943,446225,,,,,,,,,,,,,,,
146217,Boston Spa Academy,1200,LS23 6RW,442021,445103,,,,,,,,,,,,,,,
136736,South Craven School,1769,BD20 7RL,400829,444837,,,,,,,,,,,,,,,
137342,Garstang Community Academy,851,PR3 1YE,349756,443981,,,,,,,,,,,,,,,
139351,"St. Mary's Menston, a Catholic Voluntary Academy",1096,LS29 6AE,417987,442819,,,,,,,,,,,,,,,
145777,Tadcaster Grammar School,1614,LS24 9NB,445635,442629,,,,,,,,,,,,,,,
136390,Clitheroe Royal Grammar School,1321,BB7 2DJ,374554,442122,,,,,,,,,,,,,,,
146228,Colne Park High School,1075,BB8 7DP,389866,440871,,,,,,,,,,,,,,,
137973,Montgomery Academy,1370,FY2 0AZ,331843,440430,,,,,,,,,,,,,,,
136717,Hodgson Academy,1125,FY6 7EU,335543,439508,,,,,,,,,,,,,,,
136995,Beverley Grammar School,920,HU17 8NF,502780,438617,,,,,,,,,,,,,,,
137775,Horsforth School,1287,LS18 5RF,423730,438510,,,,,,,,,,,,,,,
142590,Immanuel College,1425,BD10 9AQ,418072,438376,,,,,,,,,,,,,,,
139975,Beckfoot School,1610,BD16 1EE,411343,438346,,,,,,,,,,,,,,,
137083,Abbey Grange Church of England Academy,1152,LS16 5EA,425868,437592,,,,,,,,,,,,,,,
141257,St Mary's Catholic Academy,1199,FY3 7EQ,332891,437217,,,,,,,,,,,,,,,
138087,Belle Vue Girls' Academy,1052,BD9 6NA,412379,435974,,,,,,,,,,,,,,,
144588,Co-op Academy Priesthorpe,1170,LS28 5SG,420685,434980,,,,,,,,,,,,,,,
144929,Barlby High School,750,YO8 5JP,463334,434590,,,,,,,,,,,,,,,
136962,Feversham Academy,720,BD3 0LT,416891,434410,,,,,,,,,,,,,,,
147100,Carlton Bolling,1524,BD3 0DU,417309,434007,,,,,,,,,,,,,,,
140759,St George's School A Church of England Academy,1050,FY4 4PH,333250,433984,,,,,,,,,,,,,,,
136921,Cottingham High School and Sixth Form College,1411,HU16 5PX,503392,433663,,,,,,,,,,,,,,,
146247,Temple Moor High School,1332,LS15 0PT,435580,433494,,,,,,,,,,,,,,,
147581,"Blessed Trinity Roman Catholic College, A Voluntary Academy",1250,BB10 3AA,385019,433088,,,,,,,,,,,,,,,
139629,Winifred Holtby Academy,1350,HU7 4PW,510903,433085,,,,,,,,,,,,,,,
145819,Sherburn High School,1139,LS25 6AS,449027,432955,,,,,,,,,,,,,,,
138304,Crawshaw Academy,1223,LS28 9HU,422713,432948,,,,,,,,,,,,,,,
136343,Garforth Academy,2065,LS25 1LJ,440216,432451,,,,,,,,,,,,,,,
144104,"St Mary's College, Voluntary Catholic Academy",2000,HU6 7TN,507965,432240,,,,,,,,,,,,,,,
144307,Newland School for Girls,750,HU6 7RU,507465,431882,,,,,,,,,,,,,,,
142150,Malet Lambert,1500,HU8 0JD,512075,431589,,,,,,,,,,,,,,,
143221,Kelvin Hall School,1500,HU5 4QH,506467,431058,,,,,,,,,,,,,,,
144561,Wolfreton School and Sixth Form College,1685,HU10 6HB,502782,430316,,,,,,,,,,,,,,,
137421,Accrington St Christopher's Church of England High School,1280,BB5 4AY,375219,429494,,,,,,,,,,,,,,,
142585,Cockburn School,1111,LS11 5TT,429176,429391,,,,,,,,,,,,,,,
138082,Hull Trinity House Academy,600,HU1 3BP,509864,429137,,,,,,,,,,,,,,,
143238,Brigshaw High School,1601,WF10 2HR,440834,429088,,,,,,,,,,,,,,,
136788,The North Halifax Grammar School,1145,HX2 9SU,407826,428816,,,,,,,,,,,,,,,
141565,Tauheedul Islam Girls' High School,800,BB2 7AD,366262,428761,,,,,,,,,,,,,,,
146129,Howden School,963,DN14 7AL,475238,428628,,,,,,,,,,,,,,,
138948,Penwortham Priory Academy,1152,PR1 0JE,351171,428386,,,,,,,,,,,,,,,
138111,BBG Academy,750,BD19 4BE,420530,427725,,,,,,,,,,,,,,,
136900,St Wilfrid's Church of England Academy,1630,BB2 2JR,367479,427475,,,,,,,,,,,,,,,
140879,Witton Park Academy,1230,BB2 6TD,366403,427415,,,,,,,,,,,,,,,
136392,The Morley Academy,1555,LS27 0PD,426027,427383,,,,,,,,,,,,,,,
146936,Blackburn Central High School,900,BB2 3HJ,369088,427022,,,,,,,,,,,,,,,
136667,South Hunsley School and Sixth Form College,1877,HU14 3HS,496594,426766,,,,,,,,,,,,,,,
137424,Batley Girls High School,1325,WF17 0LD,423462,426219,,,,,,,,,,,,,,,
137111,Lostock Hall Academy,800,PR5 5UR,355067,426169,,,,,,,,,,,,,,,
138336,Rodillian Academy,1700,WF3 3PS,433028,426139,,,,,,,,,,,,,,,
137383,Woodkirk Academy,1785,WF3 1JQ,427442,426022,,,,,,,,,,,,,,,
